Result Log

World File: worlds/trial2.wrld
Solution File for Pac-Man: solutions/trial2PacMan.sol
Solution File for Ghost: solutions/trial2Ghost.sol
Pill Density: 50
Random Seed: 469065

Config Used:
{"runType": "Both", "mu": 100, "lambda": 250, "muGhost": 100, "lambdaGhost": 250, "pillDensity": 50, "fruitSpawnProb": 1, "fruitScore": 10, "timeMult": 2, "numOfRuns": 30, "numOfFitnessEvals": 2000, "parentSelect": "Over-Selection", "survivalSelect": "Truncation", "parentSelectGhost": "Over-Selection", "survivalSelectGhost": "Truncation", "dMax": 3, "parsimony": 5, "parsimonyGhost": 5, "overSelectionPercentage": 0.75, "nodeThreshold": 40, "fruitConst": 100, "logPath": "logs/trial2.log", "worldPath": "worlds/trial2.wrld", "solPath": "solutions/trial2PacMan.sol", "solPathGhost": "solutions/trial2Ghost.sol"}

Run 1
1350	40.53	113
1600	46.04	119
1850	38.26	105
2100	41.2	117

Run 30
100	10.13	84
350	37.21	97
600	44.07	112
850	45.55	129
1100	47.77	119
1350	53.01	130
1600	49.09	117
1850	44.44	120
2100	41.63	129

