Result Log

World File: worlds/trial1.wrld
Solution File for Pac-Man: solutions/trial1PacMan.sol
Solution File for Ghost: solutions/trial1Ghost.sol
Pill Density: 50
Random Seed: 686190

Config Used:
{"runType": "Both", "mu": 100, "lambda": 100, "muGhost": 100, "lambdaGhost": 100, "pillDensity": 50, "fruitSpawnProb": 1, "fruitScore": 10, "timeMult": 2, "numOfRuns": 30, "numOfFitnessEvals": 2000, "parentSelect": "Over-Selection", "survivalSelect": "Truncation", "parentSelectGhost": "Over-Selection", "survivalSelectGhost": "Truncation", "dMax": 3, "parsimony": 5, "parsimonyGhost": 5, "overSelectionPercentage": 0.75, "nodeThreshold": 40, "fruitConst": 100, "logPath": "logs/trial1.log", "worldPath": "worlds/trial1.wrld", "solPath": "solutions/trial1PacMan.sol", "solPathGhost": "solutions/trial1Ghost.sol"}

Run 1
100	12.46	86
200	24.11	106
300	31.28	129
400	22.67	95
500	26.86	117
600	29.08	115
700	30.26	177
800	30.24	126
900	15.97	114
1000	17.68	110
1100	17.09	108
1200	23.56	143
1300	23.76	119
1400	20.93	122
1500	22.11	115
1600	22.58	143
1700	29.78	136
1800	18.35	151
1900	22.8	122
2000	19.93	118

Run 2
100	13.22	179
200	18.84	118
300	28.49	131
400	20.33	75
500	27.48	90
600	23.39	117
700	20.45	118
800	21.26	101
900	24.65	129
1000	24.89	121
1100	21.45	160
1200	22.91	107
1300	12.93	109
1400	12.9	122
1500	18.8	120
1600	23.05	109
1700	25.03	127
1800	23.69	111
1900	20.28	115
2000	17.96	114

Run 3
100	9.65	76
200	18.58	163
300	18.65	89
400	21.53	101
500	17.48	89
600	26.07	114
700	25.96	144
800	26.13	102
900	22.92	113
1000	22.92	161
1100	20.49	113
1200	22.86	153
1300	21.09	101
1400	21.31	121
1500	14.21	110
1600	18.44	118
1700	18.73	118
1800	16.82	100
1900	20.61	115
2000	16.82	117

Run 4
100	12.23	109
200	17.56	103
300	22.87	107
400	22.84	97
500	23.9	98
600	25.64	113
700	27.48	112
800	26.04	129
900	31.66	119
1000	33.48	149
1100	28.99	116
1200	27.0	141
1300	26.36	119
1400	23.86	95
1500	15.77	128
1600	18.19	141
1700	17.12	126
1800	23.04	164
1900	12.47	102
2000	15.33	107

Run 5
100	10.61	66
200	16.74	70
300	19.63	115
